Date,Season,Week,Home,Visitor,HT,FT,Total Goal,Goal Difference,Result,Home Red Card,Visitor Red Card
23/12/1962,1962,15,Goztepe,Genclerbirligi,1-1,1-3,4,-2,A,0,0
23/12/1962,1962,15,Karsiyaka,Beykoz 1908,0-0,2-0,2,2,H,0,0
23/12/1962,1962,16,Fenerbahce,Istanbulspor,0-1,1-1,2,0,D,0,1
23/12/1962,1962,16,Besiktas,Kasimpasa,1-0,3-0,3,3,H,0,1
30/12/1962,1962,16,Altay,Galatasaray,1-0,2-0,2,2,H,0,0
05/01/1963,1962,17,Genclerbirligi,Turanspor,3-1,4-1,5,3,H,0,0
05/01/1963,1962,17,Goztepe,Altay,0-0,0-0,0,0,D,0,0
05/01/1963,1962,17,Besiktas,Kasimpasa,1-0,3-1,4,2,H,0,1
05/01/1963,1962,17,Yesildirek,Istanbulspor,0-0,2-2,4,0,D,0,0
06/01/1963,1962,17,Fenerbahce,Vefa,2-0,5-0,5,5,H,0,0
06/01/1963,1962,17,Beykoz 1908,Ferikoy,1-1,2-1,3,1,H,0,0
06/01/1963,1962,17,Ankara Keciorengucu,Turk Telekom,0-0,1-0,1,1,H,0,0
06/01/1963,1962,17,Altinordu,Izmirspor,0-1,2-1,3,1,H,0,0
12/01/1963,1962,18,Ankara Demirspor,Turanspor,1-1,7-2,9,5,H,0,1
